Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
맛없는오렌지,272,108,0,0,https://lolchess.gg/profile/KR/맛없는오렌지
설빙봉 ,271,265,0,0,https://lolchess.gg/profile/KR/설빙봉 
극악무도 복실이,271,138,0,0,https://lolchess.gg/profile/KR/극악무도 복실이
갑툭튀헤카림,270,304,0,0,https://lolchess.gg/profile/KR/갑툭튀헤카림
Harlow J,267,169,0,0,https://lolchess.gg/profile/KR/Harlow J
덕소나몽이,266,229,0,0,https://lolchess.gg/profile/KR/덕소나몽이
스즈미야서동혐의우울,265,125,0,0,https://lolchess.gg/profile/KR/스즈미야서동혐의우울
즐겜하는 노마딕,264,138,0,0,https://lolchess.gg/profile/KR/즐겜하는 노마딕
타릭타릭,264,108,0,0,https://lolchess.gg/profile/KR/타릭타릭
dunizuni,263,199,0,0,https://lolchess.gg/profile/KR/dunizuni
집값폭등 문재인,260,92,0,0,https://lolchess.gg/profile/KR/집값폭등 문재인
순방요정,260,84,0,0,https://lolchess.gg/profile/KR/순방요정
롤체김병만,260,200,0,0,https://lolchess.gg/profile/KR/롤체김병만
Do Our Utmost,257,277,0,0,https://lolchess.gg/profile/KR/Do Our Utmost
정동글 YouTube,256,86,0,0,https://lolchess.gg/profile/KR/정동글 YouTube
Tilted,255,134,0,0,https://lolchess.gg/profile/KR/Tilted
우리할수있잖아,255,133,0,0,https://lolchess.gg/profile/KR/우리할수있잖아
다 잘될고양이,250,137,0,0,https://lolchess.gg/profile/KR/다 잘될고양이
콩대congdae,249,149,0,0,https://lolchess.gg/profile/KR/콩대congdae
김도칠,247,174,0,0,https://lolchess.gg/profile/KR/김도칠
서강대영미어문,246,114,0,0,https://lolchess.gg/profile/KR/서강대영미어문
엉망진창 김대규,245,149,0,0,https://lolchess.gg/profile/KR/엉망진창 김대규
Twitch 카시장인,245,122,0,0,https://lolchess.gg/profile/KR/Twitch 카시장인
KinNiDa,244,80,0,0,https://lolchess.gg/profile/KR/KinNiDa
TFT 화려강산,244,152,0,0,https://lolchess.gg/profile/KR/TFT 화려강산
귀여운민찌,243,232,0,0,https://lolchess.gg/profile/KR/귀여운민찌
마르하바,243,150,0,0,https://lolchess.gg/profile/KR/마르하바
윤경누나,241,146,0,0,https://lolchess.gg/profile/KR/윤경누나
겹쳐도 절대 안 뺌 ,239,111,0,0,https://lolchess.gg/profile/KR/겹쳐도 절대 안 뺌 
우르르까꿍,239,142,0,0,https://lolchess.gg/profile/KR/우르르까꿍
최전방 즐라탄 이브라히모비치,236,73,0,0,https://lolchess.gg/profile/KR/최전방 즐라탄 이브라히모비치
뀨서누,236,237,0,0,https://lolchess.gg/profile/KR/뀨서누
유석현 분쇄기,235,129,0,0,https://lolchess.gg/profile/KR/유석현 분쇄기
영판항,235,106,0,0,https://lolchess.gg/profile/KR/영판항
지점토찰흙,232,149,0,0,https://lolchess.gg/profile/KR/지점토찰흙
diay,232,116,0,0,https://lolchess.gg/profile/KR/diay
금먹는금붕어,232,127,0,0,https://lolchess.gg/profile/KR/금먹는금붕어
자이라 고수,230,98,0,0,https://lolchess.gg/profile/KR/자이라 고수
김철회,230,169,0,0,https://lolchess.gg/profile/KR/김철회
Hwj,229,191,0,0,https://lolchess.gg/profile/KR/Hwj
자타공인회계사,229,107,0,0,https://lolchess.gg/profile/KR/자타공인회계사
AFTV 삼디,229,190,0,0,https://lolchess.gg/profile/KR/AFTV 삼디
발광자,229,250,0,0,https://lolchess.gg/profile/KR/발광자
따갚되,229,169,0,0,https://lolchess.gg/profile/KR/따갚되
병빡이,229,248,0,0,https://lolchess.gg/profile/KR/병빡이
Ryunet,228,137,0,0,https://lolchess.gg/profile/KR/Ryunet
아냐는 땅콩 좋아,227,147,0,0,https://lolchess.gg/profile/KR/아냐는 땅콩 좋아
주경찬,227,250,0,0,https://lolchess.gg/profile/KR/주경찬
달빛과 바다,227,120,0,0,https://lolchess.gg/profile/KR/달빛과 바다
hz 홧또,226,129,0,0,https://lolchess.gg/profile/KR/hz 홧또
위장티어,226,216,0,0,https://lolchess.gg/profile/KR/위장티어
잭스카운터뽀삐,226,305,0,0,https://lolchess.gg/profile/KR/잭스카운터뽀삐
수 갓,225,111,0,0,https://lolchess.gg/profile/KR/수 갓
요르르륵,224,106,0,0,https://lolchess.gg/profile/KR/요르르륵
조유리즈 비까리,224,122,0,0,https://lolchess.gg/profile/KR/조유리즈 비까리
탐스런복숭아,223,102,0,0,https://lolchess.gg/profile/KR/탐스런복숭아
훈 순,221,98,0,0,https://lolchess.gg/profile/KR/훈 순
Evoprim,221,110,0,0,https://lolchess.gg/profile/KR/Evoprim
팀운진짜좋음,221,90,0,0,https://lolchess.gg/profile/KR/팀운진짜좋음
그런편이야,221,148,0,0,https://lolchess.gg/profile/KR/그런편이야
DG는게꿈이니,220,147,0,0,https://lolchess.gg/profile/KR/DG는게꿈이니
Crypto,219,107,0,0,https://lolchess.gg/profile/KR/Crypto
으르신말씀,218,125,0,0,https://lolchess.gg/profile/KR/으르신말씀
명짜이,218,150,0,0,https://lolchess.gg/profile/KR/명짜이
겸뱅이,218,174,0,0,https://lolchess.gg/profile/KR/겸뱅이
이수피 팬,217,185,0,0,https://lolchess.gg/profile/KR/이수피 팬
향모야,217,113,0,0,https://lolchess.gg/profile/KR/향모야
정말 귀여워요,217,152,0,0,https://lolchess.gg/profile/KR/정말 귀여워요
불암초척추분쇄기,216,149,0,0,https://lolchess.gg/profile/KR/불암초척추분쇄기
레아 00,216,140,0,0,https://lolchess.gg/profile/KR/레아 00
koheu,214,147,0,0,https://lolchess.gg/profile/KR/koheu
lojpm,213,165,0,0,https://lolchess.gg/profile/KR/lojpm
TGSPaladin,213,206,0,0,https://lolchess.gg/profile/KR/TGSPaladin
야생녀,212,109,0,0,https://lolchess.gg/profile/KR/야생녀
내 딸 다이애나,212,213,0,0,https://lolchess.gg/profile/KR/내 딸 다이애나
찌녕이야,212,138,0,0,https://lolchess.gg/profile/KR/찌녕이야
Not Ordinary,212,131,0,0,https://lolchess.gg/profile/KR/Not Ordinary
마이 그브 벡스,211,140,0,0,https://lolchess.gg/profile/KR/마이 그브 벡스
