Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
ShreeTtarZeri,164,495,164,65,https://lolchess.gg/profile/BR/ShreeTtarZeri,https://app.mobalytics.gg/pt_br/tft/profile/BR/ShreeTtarZeri/overview
futyagi,162,435,162,75,https://lolchess.gg/profile/BR/futyagi,https://app.mobalytics.gg/pt_br/tft/profile/BR/futyagi/overview
piano17,161,243,161,10,https://lolchess.gg/profile/BR/piano17,https://app.mobalytics.gg/pt_br/tft/profile/BR/piano17/overview
東雲めめ,206,119,157,21,https://lolchess.gg/profile/BR/東雲めめ,https://app.mobalytics.gg/pt_br/tft/profile/BR/東雲めめ/overview
RB2,216,86,154,10,https://lolchess.gg/profile/BR/RB2,https://app.mobalytics.gg/pt_br/tft/profile/BR/RB2/overview
Fedd too Win,181,222,154,21,https://lolchess.gg/profile/BR/Fedd too Win,https://app.mobalytics.gg/pt_br/tft/profile/BR/Fedd too Win/overview
oneforghost,154,222,154,11,https://lolchess.gg/profile/BR/oneforghost,https://app.mobalytics.gg/pt_br/tft/profile/BR/oneforghost/overview
0m0chi,810,673,151,85,https://lolchess.gg/profile/BR/0m0chi,https://app.mobalytics.gg/pt_br/tft/profile/BR/0m0chi/overview
ikraokra,491,332,151,18,https://lolchess.gg/profile/BR/ikraokra,https://app.mobalytics.gg/pt_br/tft/profile/BR/ikraokra/overview
えなぱぱ,151,125,151,27,https://lolchess.gg/profile/BR/えなぱぱ,https://app.mobalytics.gg/pt_br/tft/profile/BR/えなぱぱ/overview
ringosann,151,323,151,43,https://lolchess.gg/profile/BR/ringosann,https://app.mobalytics.gg/pt_br/tft/profile/BR/ringosann/overview
卍 やんSUN 卍,150,261,150,35,https://lolchess.gg/profile/BR/卍 やんSUN 卍,https://app.mobalytics.gg/pt_br/tft/profile/BR/卍 やんSUN 卍/overview
apa09Neo,818,724,149,131,https://lolchess.gg/profile/BR/apa09Neo,https://app.mobalytics.gg/pt_br/tft/profile/BR/apa09Neo/overview
haruq11,604,212,149,37,https://lolchess.gg/profile/BR/haruq11,https://app.mobalytics.gg/pt_br/tft/profile/BR/haruq11/overview
santooooo,454,120,148,18,https://lolchess.gg/profile/BR/santooooo,https://app.mobalytics.gg/pt_br/tft/profile/BR/santooooo/overview
tappu,214,214,145,43,https://lolchess.gg/profile/BR/tappu,https://app.mobalytics.gg/pt_br/tft/profile/BR/tappu/overview
Raitora,925,245,144,15,https://lolchess.gg/profile/BR/Raitora,https://app.mobalytics.gg/pt_br/tft/profile/BR/Raitora/overview
SeikaiHero,482,303,144,63,https://lolchess.gg/profile/BR/SeikaiHero,https://app.mobalytics.gg/pt_br/tft/profile/BR/SeikaiHero/overview
eto333,688,736,141,78,https://lolchess.gg/profile/BR/eto333,https://app.mobalytics.gg/pt_br/tft/profile/BR/eto333/overview
ゆめみ,177,296,141,67,https://lolchess.gg/profile/BR/ゆめみ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ゆめみ/overview
TieuTieu1231,396,384,140,62,https://lolchess.gg/profile/BR/TieuTieu1231,https://app.mobalytics.gg/pt_br/tft/profile/BR/TieuTieu1231/overview
raikoooo,161,166,139,28,https://lolchess.gg/profile/BR/raikoooo,https://app.mobalytics.gg/pt_br/tft/profile/BR/raikoooo/overview
Flyinget,180,197,138,30,https://lolchess.gg/profile/BR/Flyinget,https://app.mobalytics.gg/pt_br/tft/profile/BR/Flyinget/overview
Twitch にゃず,145,255,138,18,https://lolchess.gg/profile/BR/Twitch にゃず,https://app.mobalytics.gg/pt_br/tft/profile/BR/Twitch にゃず/overview
Orgap,1068,190,137,7,https://lolchess.gg/profile/BR/Orgap,https://app.mobalytics.gg/pt_br/tft/profile/BR/Orgap/overview
多動卿,273,107,137,54,https://lolchess.gg/profile/BR/多動卿,https://app.mobalytics.gg/pt_br/tft/profile/BR/多動卿/overview
gochuchu1,143,171,137,30,https://lolchess.gg/profile/BR/gochuchu1,https://app.mobalytics.gg/pt_br/tft/profile/BR/gochuchu1/overview
ホンイツ,665,300,136,13,https://lolchess.gg/profile/BR/ホンイツ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ホンイツ/overview
めるとだうん,343,593,135,26,https://lolchess.gg/profile/BR/めるとだうん,https://app.mobalytics.gg/pt_br/tft/profile/BR/めるとだうん/overview
たし蟹ｗ,926,347,134,13,https://lolchess.gg/profile/BR/たし蟹ｗ,https://app.mobalytics.gg/pt_br/tft/profile/BR/たし蟹ｗ/overview
finnnoman,143,261,133,32,https://lolchess.gg/profile/BR/finnnoman,https://app.mobalytics.gg/pt_br/tft/profile/BR/finnnoman/overview
ダンゴ,819,343,132,33,https://lolchess.gg/profile/BR/ダンゴ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ダンゴ/overview
meipon,478,169,132,20,https://lolchess.gg/profile/BR/meipon,https://app.mobalytics.gg/pt_br/tft/profile/BR/meipon/overview
Soul Gunmetal,132,539,132,16,https://lolchess.gg/profile/BR/Soul Gunmetal,https://app.mobalytics.gg/pt_br/tft/profile/BR/Soul Gunmetal/overview
だ一一,130,376,130,23,https://lolchess.gg/profile/BR/だ一一,https://app.mobalytics.gg/pt_br/tft/profile/BR/だ一一/overview
zzb9527,231,514,129,67,https://lolchess.gg/profile/BR/zzb9527,https://app.mobalytics.gg/pt_br/tft/profile/BR/zzb9527/overview
Reliicanth,150,68,129,16,https://lolchess.gg/profile/BR/Reliicanth,https://app.mobalytics.gg/pt_br/tft/profile/BR/Reliicanth/overview
LoLの王,129,311,129,37,https://lolchess.gg/profile/BR/LoLの王,https://app.mobalytics.gg/pt_br/tft/profile/BR/LoLの王/overview
YuuKa Sugai,129,123,129,19,https://lolchess.gg/profile/BR/YuuKa Sugai,https://app.mobalytics.gg/pt_br/tft/profile/BR/YuuKa Sugai/overview
おしるこ,247,336,128,29,https://lolchess.gg/profile/BR/おしるこ,https://app.mobalytics.gg/pt_br/tft/profile/BR/おしるこ/overview
Hungcaubinh,164,251,128,30,https://lolchess.gg/profile/BR/Hungcaubinh,https://app.mobalytics.gg/pt_br/tft/profile/BR/Hungcaubinh/overview
Twezi0102,168,507,127,85,https://lolchess.gg/profile/BR/Twezi0102,https://app.mobalytics.gg/pt_br/tft/profile/BR/Twezi0102/overview
blookt,421,213,126,10,https://lolchess.gg/profile/BR/blookt,https://app.mobalytics.gg/pt_br/tft/profile/BR/blookt/overview
だいちんTAAAAA,155,203,126,26,https://lolchess.gg/profile/BR/だいちんTAAAAA,https://app.mobalytics.gg/pt_br/tft/profile/BR/だいちんTAAAAA/overview
ksdhk,126,552,126,156,https://lolchess.gg/profile/BR/ksdhk,https://app.mobalytics.gg/pt_br/tft/profile/BR/ksdhk/overview
Gnort Nart,126,105,126,19,https://lolchess.gg/profile/BR/Gnort Nart,https://app.mobalytics.gg/pt_br/tft/profile/BR/Gnort Nart/overview
0snowblack,208,883,124,87,https://lolchess.gg/profile/BR/0snowblack,https://app.mobalytics.gg/pt_br/tft/profile/BR/0snowblack/overview
8M1R,151,109,124,76,https://lolchess.gg/profile/BR/8M1R,https://app.mobalytics.gg/pt_br/tft/profile/BR/8M1R/overview
ちよちゃん114,540,426,123,20,https://lolchess.gg/profile/BR/ちよちゃん114,https://app.mobalytics.gg/pt_br/tft/profile/BR/ちよちゃん114/overview
欲しがりません,177,658,123,47,https://lolchess.gg/profile/BR/欲しがりません,https://app.mobalytics.gg/pt_br/tft/profile/BR/欲しがりません/overview
はいやい,658,615,117,50,https://lolchess.gg/profile/BR/はいやい,https://app.mobalytics.gg/pt_br/tft/profile/BR/はいやい/overview
トリル,457,600,117,97,https://lolchess.gg/profile/BR/トリル,https://app.mobalytics.gg/pt_br/tft/profile/BR/トリル/overview
TonyChopper,133,197,117,22,https://lolchess.gg/profile/BR/TonyChopper,https://app.mobalytics.gg/pt_br/tft/profile/BR/TonyChopper/overview
