Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
Abandonedd,12,174,0,0.0,https://lolchess.gg/profile/KR/Abandonedd
Omnî,10,81,0,0.0,https://lolchess.gg/profile/KR/Omnî
Cryocriptic,10,186,0,0.0,https://lolchess.gg/profile/KR/Cryocriptic
lmrllhh,10,99,0,0.0,https://lolchess.gg/profile/KR/lmrllhh
TwTv Dankbanana1,10,143,0,0.0,https://lolchess.gg/profile/KR/TwTv Dankbanana1
Op Playerz,10,95,0,0.0,https://lolchess.gg/profile/KR/Op Playerz
Teemos dad,10,82,0,0.0,https://lolchess.gg/profile/KR/Teemos dad
farrarco,9,70,0,0.0,https://lolchess.gg/profile/KR/farrarco
Andrèw,7,74,0,0.0,https://lolchess.gg/profile/KR/Andrèw
Haropeople,6,69,0,0.0,https://lolchess.gg/profile/KR/Haropeople
Firstfire,0,171,0,0.0,https://lolchess.gg/profile/KR/Firstfire
xJAIFZ,0,96,0,0.0,https://lolchess.gg/profile/KR/xJAIFZ
Hbabe,0,136,0,0.0,https://lolchess.gg/profile/KR/Hbabe
CCCCCHANCE,0,132,0,0.0,https://lolchess.gg/profile/KR/CCCCCHANCE
Kuuu,0,106,0,0.0,https://lolchess.gg/profile/KR/Kuuu
Anakxn,0,108,0,0.0,https://lolchess.gg/profile/KR/Anakxn
pong670,0,169,0,0.0,https://lolchess.gg/profile/KR/pong670
Healara,0,159,0,0.0,https://lolchess.gg/profile/KR/Healara
Yoohyeon Kim,0,86,0,0.0,https://lolchess.gg/profile/KR/Yoohyeon Kim
Mia,0,73,0,0.0,https://lolchess.gg/profile/KR/Mia
yummydinosaur,0,114,0,0.0,https://lolchess.gg/profile/KR/yummydinosaur
Elden Coochie,0,156,0,0.0,https://lolchess.gg/profile/KR/Elden Coochie
BoomShakaraka,0,106,0,0.0,https://lolchess.gg/profile/KR/BoomShakaraka
Y x,0,143,0,0.0,https://lolchess.gg/profile/KR/Y x
Gangplank98,0,89,0,0.0,https://lolchess.gg/profile/KR/Gangplank98
GC161,0,273,0,0.0,https://lolchess.gg/profile/KR/GC161
explicît,0,90,0,0.0,https://lolchess.gg/profile/KR/explicît
Unhert,0,101,0,0.0,https://lolchess.gg/profile/KR/Unhert
Datdyr,0,216,0,0.0,https://lolchess.gg/profile/KR/Datdyr
summon3r003,0,128,0,0.0,https://lolchess.gg/profile/KR/summon3r003
KIein Moretti,0,124,0,0.0,https://lolchess.gg/profile/KR/KIein Moretti
Lou is Sleepy,0,166,0,0.0,https://lolchess.gg/profile/KR/Lou is Sleepy
icingmoon,0,136,0,0.0,https://lolchess.gg/profile/KR/icingmoon
Volt,0,85,0,0.0,https://lolchess.gg/profile/KR/Volt
Revel Abuser,0,123,0,0.0,https://lolchess.gg/profile/KR/Revel Abuser
Cinas,0,103,0,0.0,https://lolchess.gg/profile/KR/Cinas
Jodanonechamp,0,183,0,0.0,https://lolchess.gg/profile/KR/Jodanonechamp
Psywave,0,146,0,0.0,https://lolchess.gg/profile/KR/Psywave
cydokinesis,0,98,0,0.0,https://lolchess.gg/profile/KR/cydokinesis
WottS,0,190,0,0.0,https://lolchess.gg/profile/KR/WottS
yee,0,130,0,0.0,https://lolchess.gg/profile/KR/yee
Prof Oakenshield,0,102,0,0.0,https://lolchess.gg/profile/KR/Prof Oakenshield
Dàrk,0,82,0,0.0,https://lolchess.gg/profile/KR/Dàrk
v1nnegar,0,152,0,0.0,https://lolchess.gg/profile/KR/v1nnegar
TURBOVIRGIN69,154,101,-10,1.0,https://lolchess.gg/profile/KR/TURBOVIRGIN69
m2att,0,164,-52,1.0,https://lolchess.gg/profile/KR/m2att
liontiger,6,219,0,0.0,https://lolchess.gg/profile/KR/liontiger
