,Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
167,O Lobo Estoico,1,136,0,0,https://lolchess.gg/profile/KR/O Lobo Estoico
168,Ankhol,1,108,0,0,https://lolchess.gg/profile/KR/Ankhol
169,Monzy,0,112,0,0,https://lolchess.gg/profile/KR/Monzy
170,O Abadonn,0,194,0,0,https://lolchess.gg/profile/KR/O Abadonn
171,XEQUlRA,0,182,0,0,https://lolchess.gg/profile/KR/XEQUlRA
172,Zeer001,0,205,0,0,https://lolchess.gg/profile/KR/Zeer001
173,The Black Rose k,0,119,0,0,https://lolchess.gg/profile/KR/The Black Rose k
174,Daniel MoIo,0,78,0,1,https://lolchess.gg/profile/KR/Daniel MoIo
175,Hugotrs,0,187,0,0,https://lolchess.gg/profile/KR/Hugotrs
176,Derykmba,0,101,0,0,https://lolchess.gg/profile/KR/Derykmba
177,gabsreal,0,128,0,0,https://lolchess.gg/profile/KR/gabsreal
178,MJN Suasion,0,121,0,0,https://lolchess.gg/profile/KR/MJN Suasion
179,S1lm4r,0,101,0,0,https://lolchess.gg/profile/KR/S1lm4r
180,Roodri,0,100,0,0,https://lolchess.gg/profile/KR/Roodri
181,SIowroll,0,107,0,0,https://lolchess.gg/profile/KR/SIowroll
182,FOUR Uaiti,0,163,0,0,https://lolchess.gg/profile/KR/FOUR Uaiti
183,TFT Heit,0,205,0,0,https://lolchess.gg/profile/KR/TFT Heit
184,an icon living,0,126,0,0,https://lolchess.gg/profile/KR/an icon living
185,vFixxer,0,104,0,0,https://lolchess.gg/profile/KR/vFixxer
186,hegael,0,178,0,0,https://lolchess.gg/profile/KR/hegael
187,MJN Mathze ,0,164,0,0,https://lolchess.gg/profile/KR/MJN Mathze 
188,BES vipi,0,127,0,0,https://lolchess.gg/profile/KR/BES vipi
189,Pranpriya,0,120,0,0,https://lolchess.gg/profile/KR/Pranpriya
190,gzO,0,100,0,0,https://lolchess.gg/profile/KR/gzO
191,RedLotusBR,0,179,0,0,https://lolchess.gg/profile/KR/RedLotusBR
192,MattH zzZ,0,162,0,0,https://lolchess.gg/profile/KR/MattH zzZ
193,looking for love,0,146,0,0,https://lolchess.gg/profile/KR/looking for love
194,Sh0W,0,118,0,0,https://lolchess.gg/profile/KR/Sh0W
195,TFx Sepeda,0,60,0,0,https://lolchess.gg/profile/KR/TFx Sepeda
196,Sidi Jr,0,74,0,0,https://lolchess.gg/profile/KR/Sidi Jr
197,paivaa tft,0,117,0,0,https://lolchess.gg/profile/KR/paivaa tft
198,Liow,0,187,0,0,https://lolchess.gg/profile/KR/Liow
199,Post Malandro,0,160,0,0,https://lolchess.gg/profile/KR/Post Malandro
200,Garrrido,0,103,0,0,https://lolchess.gg/profile/KR/Garrrido
201,LeS Ocirep12,0,113,0,0,https://lolchess.gg/profile/KR/LeS Ocirep12
202,Lee Lee,2,93,-38,1,https://lolchess.gg/profile/KR/Lee Lee
